,index,date,comments
0,8954,2019-06-21,"Appartement fonctionnel, bien situé. L'environnement ne pose aucun problème."
1,357843,2021-07-30,I had a wonderful time staying in Haydee's apartment. It was clean and had everything I needed for a 2 week stay.
2,715962,2019-04-23,"Jesse’s place was great! The place was very (Hidden by Airbnb) -friendly (decor was super stylish and brag-worthy) and the little kitty that lives there is lovely! It was about a (Phone number hidden by Airbnb) minute walk to the subway (with at least 5 great coffee/bagel/donut places along the way) and anther 15 minutes into midtown Manhattan (Times Square). The ladder to get the bed was a bit of an upper body test and may not be for the faint of heart but the bed was very comfy and the place was pretty quiet (despite another review; it was mostly noisy during the day when we were already heading out around 9am). Overall, would definitely recommend and would stay again!"
3,687883,2019-01-13,"For just a room rental, for the most part felt pretty private. I checked in really late and didn't have any issues. Host were very responsive and check-in was easy. Place was cute and comfortable. Wasn't a ton of parking in the area but we did find one a few doors down so I was happy. I would def recommend to stay here for anyone looking into the area."
4,744817,2021-10-17,Host does not make clear that there are others and how many who are living there long term and utilizing the same unvented bathroom which is entered through kitchen. One apparently long term renter rude re sharing bathroom.
5,618697,2020-10-24,Expect anything
6,811293,2021-04-21,amazing stay. great location
7,269296,2019-09-19,"Nice place to stay in Brooklyn. Ideal for two guests, who are not a couple because of the possibility to use a second bedroom. It was clean and cozy and the next Metrostation within walking distance. We are only giving 4 stars, as the balcony was unfurnished and could therefore not be used. Noise-sensitive people might be bothered by the aircraft noise from early in the morning till past midnight. Izabel is a very good host and always available when needed."
8,295986,2021-10-24,"Lovely garden apartment in a great area. Very comfortable and the hosts are very kind. Good communication throughout. Check in and out is simple. Some notes: parking can be challenging in that neighborhood. But you're right near several subways, which is a better way to get around NYC! Kitchen is pretty basic, but okay for basic food prep. TV is a bit fiddly to set up. Overall a great place to stay! We would definitely consider coming back there."
9,767634,2019-12-22,"Easy to get into, clean, close to all the trains to bkln or Manhattan, decent food options."
10,550236,2019-09-22,"Very clean, place looks like picture. Easy access to subway but not quickly accessible to other boroughs."
11,551958,2021-06-10,Accurate to description. Great place for great price.
12,74333,2019-09-30,Page is a very kind & accommodating host. The apartment is in a perfect location as we walked to all the mid town places. The subway is a 1 minutes walk so I would highly recommend this place to stay.
13,838270,2021-07-11,Convenient location and space! Would stay again.
14,784043,2021-05-26,"Very cute place. It’s in a basement so the ceilings are low and the apt has close neighbors, but other than that the space is just as pictured. Very cute and a great value."
15,731858,2021-10-18,"Kevin and his airbnb are a blessing. He is such a kind host. He will help you with any info. you need. You will not regret booking with him. His place is right in Chinatown, convenient to walk around. Will return here when we visit New York again."
16,863984,2021-06-28,Great place to stay! Close to time square with great view! The horas also has a an indoor/bar with an amazing view of time square! Clean rooms very comfy and nice!
17,679170,2019-05-20,"We had a great stay! The location was awesome, quick communication and it was a comfortable space. I would recommend highly!"
18,304900,2019-05-20,"This place was exactly as pictured and described. Convenient location as we were able to explore a bit of Brooklyn, Coney Island and easily make our way to Manhattan. Not a bad drive to both JFK and Newark Airports. I received fast responses from our host. Very pleased with our stay!"
19,469840,2019-08-11,Michelle is great! We enjoyed meeting her and staying at her place. The neighborhood was great too. The apartment has authentic character which we love! We really enjoyed nagels bagels and el jefe Mexican food near by. <br/><br/>Thank you for the hospitality Michelle!
20,839065,2021-06-17,I liked staying here a lot! The bathroom was great and the room was clean. The description is accurate and the host has great communication. I liked that the subway station was a 5 minute walk and the AC unit was such a great addition in this hot weather. A wonderful NYC find!
21,715025,2021-10-24,The Airbnb is perfectly located right where it matters as you can easily explore anywhere in NYC within all the boroughs if you choose from the comforts of being in the upper west side. Sharone was extremely flexible and accommodating which made for a truly enjoyable time. My only complaint is I did book a longer trip. :)
22,98913,2019-04-05,Tolle Unterkunft in herausragender Lage direkt in Manhattan. Typische New Yorker Wohnung. Michael war ein toller Host und hat uns viele nützliche Tipps gegeben um unseren Trip noch besser zu machen. Ich Kann die Unterkunft zu 100 Prozent weiterempfehlen.
23,432927,2019-12-12,"I love Mei’s place- this is my second time booking there which says it all.  Super clean, super efficient and wonderfully friendly.  I will definitely stay here again and again!"
24,254346,2020-07-17,"Fantastic location right in the middle of all the action. I thoroughly enjoyed my two month stay here. There is a subway station right below the building and a parking garage where I could rent a monthly parking spot for $250/Month. The apartment was super clean and comfy, Steve was a great hot, very responsive and accommodating. Loved it overall!"
25,865083,2021-08-23,"OMG!!! It was a hurricane weekend & needed a place to stay with my two good friends.  I found this place & boy was it AMAZING! The house is beautiful & what you see in photos matches in person.  The house smells good, the space is clean & comfy. Best part of the house is the master bedroom where I ended up taking pictures for nice background.  I will definitely revisit!"
26,584596,2019-09-26,"This is an amazing apartment with a wonderful garden and Ruth is the most gracious host! The apartment has everything one might need and then some - bar soap, facial wash, q-tips, cotton pads - and feels like home. Ruth welcomed us despite the late hour of arrival and showed us around. Location is perfect and certainly a place we would love to return to."
27,378119,2019-06-18,Convenient and clean.
28,867056,2021-11-01,"The place is amazing, just as in the pictures, the space is very big and everything in soho is walking distance. William was very attentive and responded immediately if anything was needed. The check in was quick and easy. Very comfortable place, the beds are amazing! Complete kitchen. There are 3 bedrooms and 2 complete bathrooms. Laundry as well. I will definitely recommend this place ! Hope to be back soon."
29,368356,2019-10-16,"J. was a great host. He offered lots of tips on what to do in the city and in Harlem, and was responsive to my messages. His apartment was very clean and well-situated within the neighborhood, as we were close to the 2/3 trains. Thanks for a great stay!"
30,859816,2021-11-06,"Enjoyed my stay so much I rebooked for a few more days. Nice spacious place, clean and in a good location."
31,714018,2019-12-08,Very responsive host and warmly decorated interior.
32,809285,2020-03-06,I Recommend times 50 was a really nice place to stay great people quiet house and clean and a good area not too far from the city and just amazing
33,474604,2019-04-14,Kevin is a great host. He picked me up from a local metro station and dropped me at the house. I enjoyed playing basketball in the yard with his son. There is a code to let you in and there are a few places selling nice soul food in the area. Kevin also dropped me airport the next day which was a very short drive.
34,653217,2019-10-30,"Jeff ist sehr nett, hilfsbereit und zuverlässig. Die Wohnung liegt sehr verkehrsgünstig und ist trotzdem relativ ruhig und in einer sicheren Gegend. Das Bad ist allerdings etwas klein."
35,446755,2021-01-31,"Perfect and safe area to stay! Very clean, plenty of space, and comfortable rooms. Will surely be booking this every time I am in the area."
36,161846,2019-05-25,As advertised - good affordable spot from which to explore Brooklyn
37,376966,2019-03-31,Hans’ place is a great spot to stay if you are interested in exploring tha UES. The street is quiet and so close to Central Park. Lots of nearby taking options of you arrive by car.
38,741188,2019-08-04,Gréât place to stay. Geralde provided super cool snacks. House  and kitchen are clean.
39,613754,2020-02-21,"Great place overall, Nkem was extremely helpful and made my stay easy, the room was bigger than expected and has a good amount of natural light in the morning. Nkem was very understanding and communicated with me well during my stay."
40,787745,2020-02-29,Amazing place! Really clean and easy to get to. Communication was amazing and quick. They provide you everything you need to know in detail from how to access the place to check in /out info. My partner and I had a really great stay would definitely book again if needed!
41,338656,2019-11-15,It is always a such a pleasure to stay with Carol. She is kind and very accommodating and does her best to make her guests feel very welcome
42,694151,2019-12-02,"This apartment is exactly as described. Neat, clean and tidy. I would highly recommend it to anyone visiting Long Island."
43,674598,2019-08-06,Beautiful little place.  Clean and vibrant area with the New York feel.
44,444118,2021-10-17,"Great location, short walk to multiple subway lines.<br/>There's decent bars, grocery stores, and restaurants all around.<br/>The place is bigger than I thought from the picture."
45,160642,2019-03-10,"Grace è una persona molto riservata ma disponibile, la sua casa è super pulita e comoda.<br/>Vicina ai mezzi, un autobus M2 sotto casa e le metropolitane a circa 200 metri 2-3 espresso - B e C.<br/>Il quartiere è tranquillo e a 5 minuti da Central Park North.<br/>Consigliatissimo"
46,581935,2019-07-21,Jermaine is a great host!  Super quick communication and wonderful accommodations! Highly recommended!
47,378045,2019-07-21,Excellent location at a fair price. Warm host who will provide assistance to navigating the neighborhood.
48,788253,2021-02-26,The room was nice and very easy to sleep in.
49,852557,2021-10-16,comunicarse con el sr lázaro o la sra muy buenos anfitriones .. recomendado
50,704149,2021-08-16,I had a wonderful experience with this stay. Both of the hosts were friendly and accommodating. The room and apartment were extremely clean and tidy. Had nice amenities like a mini fridge and TV in bedroom. For me it was super convenient being just a few blocks from L train which goes right to Williamsburg Brooklyn and Union Square Manhattan. There is also a burgeoning nightlife out in that part of Ridgewood which wasn’t there when I was living there 10 years ago. Would highly recommended!
51,713423,2021-03-21,A place to stay where you<br/>Feels like home.
52,6400,2019-11-02,"The building is really interesting, such a cool experience if you wanna try something not common... I would say it is only for artistic people cause the vibe is not for everyone. The place is far from sparkling clean and there’s many tenants but everyone is respectful."
53,750706,2020-11-27,Very comfy space and easy check in process <br/>I Was able to use this a space as a little get away to have small thanks giving  dinner with my daughter and her mom<br/>And they both loved the space as well
54,625978,2020-02-29,Depa de lo mejor ubicado para hacer tu recorrido en NY. todo funciona de maravilla. Vale la pena alojarte en este lugar.
55,716402,2020-08-01,Beautiful place and there is enough space. The kitchen and backyard were absolutely gorgeous.
56,185793,2021-07-13,"Great location just a short walk to the C train, this was the perfect location to explore Brooklyn and Manhattan."
57,256764,2019-01-04,Nice location very clean and comfy
58,352547,2019-03-23,"El departamento tiene una ubicación excelente, muy accesible para viajar a cualquier parte de NY e incluso a New Jersey.<br/>Es muy confortable.<br/>Niket fue muy atento y siempre estuvo dispuesto a darnos recomendaciones para disfrutar de NY"
59,830925,2021-07-29,"This is super great place to stay. Communication is smooth, check-in is easy, you always have a person at front desk of the building so that you can feel safe, a minute to subway, seconds to battery park, place is clean, the description about room is accurate. You will not feel any frustration at all."
60,193595,2019-04-06,"100% recommend this home for any traveler or call their home base. Stayed in Brooklyn for my very cold spring break and the house was warm with an added space heater provided but we rarely needed it. Shower was 10/10, very nice decor throughout the house and a comfortable bed. Room was spacious too ! The hosts Bill and Oates were so accommodating and positive and made a lasting impression on the trip."
61,83209,2019-06-14,"Dee’s apartment is perfectly situated in a village atmosphere just off Broadway, barely five minutes walk from the Hudson River and in the other direction to Central Park. I only met Dee on the last evening I was there but she’d left everything perfectly prepared with key access Wi-Fi and all the facilities you’ll need for a perfect stay. I’d recommend it to anybody! Hurry before the time slo"
62,654343,2021-05-25,This place is great! Pictures are very accurate and the place is super close to the subway! I wasn’t able to take advantage of the outdoor patio (they were doing some construction in back) but once it’s finished you can tell it’ll be a great space to enjoy on a cool night! Amy was very good at communicating. Would for sure stay here again!
63,168045,2021-06-30,"Great value for the space and location -- really it cannot be beat! Communication and check in could not have been better and I so appreciated that while traveling solo with my two young kids. <br/>I was a little weary when I read on the listing that smoking in the apartment is allowed -- and you can tell. I wouldn't say it was a heavy smell, but every time we came in the smell immediately struck me. I got used to it after a few minutes and it didn't linger on our belongings after leaving from our two day stay, but it's something to be aware of. <br/>Plenty of space and comfortable and all as advertised."
64,800885,2021-09-19,"It was a good place to stay. Had a few issues, but Dino was very responsive."
65,667575,2019-05-04,"I was very impressed with the apt. The pictures did not do it justice. Carlton was a wonderful host. When I inquired about anything, he responded immediately.  I was even lost one day and he helped me find my way back. As a woman traveling alone, I felt very safe coming and going to the place. I recommend everyone travelling to New York to stay here!! I wish I could give Carlton many more stars!! He made my stay very comfortable, pleasant and extremely safe!! Thank you so much!!"
66,338676,2021-10-01,"Great location, clean, safe and easy check-in, management on-site, great rooftop, convenient new washer/dryers installed while we were there.  Only complaint is that the wall heat/ac units are loud, hard to sleep with them on."
67,614899,2019-05-09,"Great property, very clean and nice to stay at. We had a private bathroom to our room, which was excellent. Breakfast in the morning, and Win had tips for how we could get to the NYC center faster by car: very thoughtful! Really nice hosts too!<br/><br/>Only minor downside could be that it's a bit full with cars in the street, so do prepare to search a little in the street if you're by car.<br/><br/>I recommend staying here! Great value!"
68,783570,2019-12-09,"Ottima location per visitare New York, pulizia e accoglienza impeccabile, consigliato!"
69,417333,2019-03-05,"Would highly recommend this apartment. <br/>Clean, great shower and all the necessities needed. <br/>About a 20-30 min trip to downtown Manhattan (including getting to the subway from apartment). <br/>Clear instructions given from host & quick communication."
70,48905,2019-03-17,The host canceled this reservation 28 days before arrival. This is an automated posting.
71,850020,2021-09-11,"Alice’s place was spacious, modern, beautiful, and cozy.  The walkability of the apt is off the charts, it’s close to literally everything you could want to do and very close to the train station.  I would definitely stay again when in the area!"
